time_s,ch1,ch2,ch3
0.0,0.0,0.0,3.3306690738754696e-16
2e-05,2.220446049250313e-16,-4.440892098500626e-16,3.3306690738754696e-16
4e-05,1.1102230246251565e-16,-2.220446049250313e-16,2.8275992658421956e-16
6e-05,3.3306690738754696e-16,2.220446049250313e-16,5.551115123125783e-16
8e-05,4.440892098500626e-16,2.220446049250313e-16,6.661338147750939e-16
0.0001,0.0,-4.440892098500626e-16,1.1102230246251565e-16
0.00012,-5.551115123125783e-16,-4.440892098500626e-16,-4.440892098500626e-16
0.00014,-1.1102230246251565e-16,0.0,-2.7755575615628914e-16
0.00016,2.220446049250313e-16,4.440892098500626e-16,2.220446049250313e-16
0.00018,4.440892098500626e-16,2.220446049250313e-16,2.498001805406602e-16
0.0002,-3.3306690738754696e-16,-3.3306690738754696e-16,-4.440892098500626e-16
0.00022,-2.220446049250313e-16,-1.8041124150158794e-16,-2.220446049250313e-16
0.00024,1.1102230246251565e-16,0.0,-1.1102230246251565e-16
0.00026,-4.440892098500626e-16,-1.3877787807814457e-17,-3.3306690738754696e-16
0.00028,0.0,0.0,1.1102230246251565e-16
0.0003,2.220446049250313e-16,2.220446049250313e-16,3.3306690738754696e-16
0.00032,4.440892098500626e-16,4.440892098500626e-16,4.718447854656915e-16
0.00034,4.440892098500626e-16,5.273559366969494e-16,1.1102230246251565e-15
0.00036,8.881784197001252e-16,3.3306690738754696e-16,1.3322676295501878e-15
0.00038,6.661338147750939e-16,1.1102230246251565e-16,6.938893903907228e-16
0.0004,-5.551115123125783e-17,-2.220446049250313e-16,-1.1102230246251565e-16
0.00042,-1.1102230246251565e-16,-2.220446049250313e-16,-5.551115123125783e-17
0.00044,2.220446049250313e-16,1.1102230246251565e-16,6.106226635438361e-16
0.00046,2.220446049250313e-16,1.1102230246251565e-16,5.273559366969494e-16
0.00048,0.0,1.1102230246251565e-16,6.106226635438361e-16
0.0005,4.440892098500626e-16,2.7755575615628914e-17,2.220446049250313e-16
0.00052,0.0,2.220446049250313e-16,0.0
0.00054,2.220446049250313e-16,1.1102230246251565e-16,3.3306690738754696e-16
0.00056,-2.220446049250313e-16,-1.5265566588595902e-16,-4.440892098500626e-16
0.00058,-4.440892098500626e-16,-3.226585665316861e-16,-4.440892098500626e-16
0.0006,0.0,2.220446049250313e-16,-2.220446049250313e-16
0.00062,0.0,2.7755575615628914e-16,0.0
0.00064,-1.1102230246251565e-16,-2.7755575615628914e-16,-1.942890293094024e-16
0.00066,2.220446049250313e-16,9.71445146547012e-17,2.498001805406602e-16
0.00068,2.220446049250313e-16,4.440892098500626e-16,4.440892098500626e-16
0.0007,-4.440892098500626e-16,-2.220446049250313e-16,-8.326672684688674e-16
